19,37542
20,37659
21,37558
22,37613
23,37272
24,37373
25,37133
27,37288
28,37458
29,37588
30,37239
31,37361
32,37415
33,37331
34,37500
35,37365
36,37344
37,37222
38,37075
39,37305
40,37134
41,37197
42,37474
43,37247
44,37344
45,37651
46,37390
47,37117
48,37167
49,37256
51,37247
52,37151
53,36928
54,37252
55,37071
56,37512
57,36940
58,37092
59,37075
60,37311
61,37058
62,37163
63,36994
64,37374
65,37088
66,37424
67,37083
68,37697
69,37227
70,37521
71,37386
72,37706
73,37370
74,37563
75,37714
76,37816
77,37567
78,37416
79,37820
80,37618
82,37513
83,37344
85,37488
86,37374
88,37286
89,37412
90,37071
91,37185
92,37407
93,37374
94,37416
95,37290
96,37357
97,37467
98,37155
99,37143
100,37067
101,37248
102,37395
103,37147
104,37294
105,37437
106,37143
107,37509
108,37526
109,37391
110,37534
111,37260
112,37336
113,37463
114,37564
115,37429
116,37849
117,37656
118,37488
119,37635
120,37400
121,37374
122,37421
123,37386
124,37164
125,37303
126,37177
127,37328
128,37135
129,37084
130,37286
131,37147
135,36945
133,37206
134,37093
135,36983
136,37109
137,36954
138,36819
139,37240
140,37029
141,37067
142,36891
143,36929
144,37084
145,36756
146,36971
147,36958
148,37063
150,36853
151,37105
152,37051
153,36748
154,36992
155,37093
156,36824
158,37135
159,36953
160,37101
162,37202
163,37026
165,37089
166,37295
168,37190
170,37236
171,37273
172,37026
173,37076
174,37207
175,36963
176,37173
177,36979
178,37194
179,37139
180,37043
181,37089
182,36857
184,36912
185,37005
186,36458
187,36799
188,37155
189,37127
190,36954
191,36731
192,36984
193,37160
194,37118
195,36929
196,36883
197,37005
198,37278
199,37114
200,36891
201,37072
202,37198
203,36967
205,37005
206,37203
207,37333
208,37245
209,37110
210,36976
211,37156
212,37315
213,37085
214,37211
215,37144
216,37106
217,37001
218,37241
220,37359
221,37220
223,37266
225,37321
226,37270
227,37216
229,37519
230,37140
231,37126
232,37241
233,37105
235,37249
236,37480
237,37287
238,37405
239,37283
240,37662
241,37304
242,37371
243,37106
244,37489
245,37460
246,37359
247,37506
248,37502
249,37384
250,37350
251,37249
252,37666
253,37552
254,37350
256,37388
257,37182
258,37422
259,37233
260,37358
263,37372
264,37283
265,37401
266,37275
267,37157
268,37292
269,37384
270,37187
272,37321
273,37595
274,37069
275,37548
276,37346
277,37418
278,37460
279,37392
281,37190
282,37523
283,37208
285,37380
287,37199
288,37153
289,36997
290,37140
292,36913
293,37002
294,36951
295,37082
296,37048
297,36934
298,36779
299,37006
300,36977
301,37002
302,36939
303,36938
304,36720
305,36943
306,36812
307,36960
308,36950
309,36737
310,36615
311,36884
312,36930
313,36884
314,36442
315,36653
316,36522
317,36699
318,36552
319,36484
320,36787
321,36670
322,36543
323,36451
324,36758
325,36657
326,36527
329,36585
330,36472
331,36716
332,36946
333,36716
334,36834
335,36619
336,36586
337,36775
339,36615
340,36977
341,36539
343,36699
344,36678
345,36737
346,37015
347,37061
348,36926
349,36990
350,36716
351,36774
352,36826
353,36816
354,36952
